* #variable= 3318 #constraint= 6983
+10 ~x1164 +1 ~x1165 +1 ~x1166 +1 ~x1434 +1 ~x1209 +1 ~x1256 +1 ~x1257 +1 ~x1258 +1 ~x1259 +1 ~x1260 +1 ~x1261 >= 10;
+9 ~x1165 +1 ~x1166 +1 ~x1434 +1 ~x1209 +1 ~x1262 +1 ~x1263 +1 ~x1264 +1 ~x1265 +1 ~x1266 +1 ~x1267 >= 9;
+13 ~x1167 +1 ~x1168 +1 ~x1169 +1 ~x1170 +1 ~x1172 +1 ~x1171 +1 ~x1433 +1 ~x1220 +1 ~x1308 +1 ~x1309 +1 ~x1310 +1 ~x1311 +1 ~x1312 +1 ~x1313 >= 13;
+12 ~x1168 +1 ~x1169 +1 ~x1170 +1 ~x1172 +1 ~x1171 +1 ~x1433 +1 ~x1220 +1 ~x1314 +1 ~x1315 +1 ~x1316 +1 ~x1317 +1 ~x1318 +1 ~x1319 >= 12;
+11 ~x1169 +1 ~x1170 +1 ~x1172 +1 ~x1171 +1 ~x1433 +1 ~x1220 +1 ~x1320 +1 ~x1321 +1 ~x1322 +1 ~x1323 +1 ~x1324 +1 ~x1325 >= 11;
+10 ~x1170 +1 ~x1172 +1 ~x1171 +1 ~x1433 +1 ~x1220 +1 ~x1238 +1 ~x1239 +1 ~x1240 +1 ~x1241 +1 ~x1242 +1 ~x1243 >= 10;
+9 ~x1172 +1 ~x1171 +1 ~x1433 +1 ~x1220 +1 ~x1250 +1 ~x1251 +1 ~x1252 +1 ~x1253 +1 ~x1254 +1 ~x1255 >= 9;
+13 ~x1173 +1 ~x1174 +1 ~x1175 +1 ~x1176 +1 ~x1178 +1 ~x1177 +1 ~x1432 +1 ~x1221 +1 ~x1326 +1 ~x1327 +1 ~x1328 +1 ~x1329 +1 ~x1330 +1 ~x1331 >= 13;
+12 ~x1174 +1 ~x1175 +1 ~x1176 +1 ~x1178 +1 ~x1177 +1 ~x1432 +1 ~x1221 +1 ~x1332 +1 ~x1333 +1 ~x1334 +1 ~x1335 +1 ~x1336 +1 ~x1337 >= 12;
+11 ~x1175 +1 ~x1176 +1 ~x1178 +1 ~x1177 +1 ~x1432 +1 ~x1221 +1 ~x1338 +1 ~x1339 +1 ~x1340 +1 ~x1341 +1 ~x1342 +1 ~x1343 >= 11;
+10 ~x1176 +1 ~x1178 +1 ~x1177 +1 ~x1432 +1 ~x1221 +1 ~x1256 +1 ~x1257 +1 ~x1258 +1 ~x1259 +1 ~x1260 +1 ~x1261 >= 10;
+9 ~x1178 +1 ~x1177 +1 ~x1432 +1 ~x1221 +1 ~x1268 +1 ~x1269 +1 ~x1270 +1 ~x1271 +1 ~x1272 +1 ~x1273 >= 9;
+5 ~x1179 +1 ~x1180 +1 ~x1431 +1 ~x1223 +1 ~x1346 +1 ~x1347 >= 5;
+5 ~x1181 +1 ~x1182 +1 ~x1430 +1 ~x1224 +1 ~x1350 +1 ~x1351 >= 5;
+5 ~x1183 +1 ~x1184 +1 ~x1429 +1 ~x1226 +1 ~x1358 +1 ~x1359 >= 5;
+5 ~x1185 +1 ~x1186 +1 ~x1428 +1 ~x1227 +1 ~x1362 +1 ~x1363 >= 5;
+5 ~x1187 +1 ~x1188 +1 ~x1427 +1 ~x1228 +1 ~x1366 +1 ~x1367 >= 5;
+6 ~x1189 +1 ~x1426 +1 ~x1210 +1 ~x1215 +1 ~x1231 +1 ~x1344 +1 ~x1345 >= 6;
+6 ~x1190 +1 ~x1425 +1 ~x1211 +1 ~x1216 +1 ~x1232 +1 ~x1348 +1 ~x1349 >= 6;
+6 ~x1191 +1 ~x1424 +1 ~x1212 +1 ~x1217 +1 ~x1233 +1 ~x1352 +1 ~x1353 >= 6;
+6 ~x1192 +1 ~x1423 +1 ~x1213 +1 ~x1218 +1 ~x1234 +1 ~x1356 +1 ~x1357 >= 6;
+6 ~x1193 +1 ~x1422 +1 ~x1214 +1 ~x1219 +1 ~x1235 +1 ~x1360 +1 ~x1361 >= 6;
+10 ~x1134 +1 ~x1439 +1 ~x1194 +1 ~x1195 +1 ~x1222 +1 ~x1238 +1 ~x1239 +1 ~x1240 +1 ~x1241 +1 ~x1242 +1 ~x1243 >= 10;
+10 ~x1140 +1 ~x1438 +1 ~x1194 +1 ~x1195 +1 ~x1222 +1 ~x1256 +1 ~x1257 +1 ~x1258 +1 ~x1259 +1 ~x1260 +1 ~x1261 >= 10;
+10 ~x1148 +1 ~x1437 +1 ~x1206 +1 ~x1207 +1 ~x1229 +1 ~x1250 +1 ~x1251 +1 ~x1252 +1 ~x1253 +1 ~x1254 +1 ~x1255 >= 10;
+10 ~x1154 +1 ~x1436 +1 ~x1206 +1 ~x1207 +1 ~x1229 +1 ~x1268 +1 ~x1269 +1 ~x1270 +1 ~x1271 +1 ~x1272 +1 ~x1273 >= 10;
+10 ~x1160 +1 ~x1435 +1 ~x1208 +1 ~x1209 +1 ~x1230 +1 ~x1250 +1 ~x1251 +1 ~x1252 +1 ~x1253 +1 ~x1254 +1 ~x1255 >= 10;
+10 ~x1166 +1 ~x1434 +1 ~x1208 +1 ~x1209 +1 ~x1230 +1 ~x1268 +1 ~x1269 +1 ~x1270 +1 ~x1271 +1 ~x1272 +1 ~x1273 >= 10;
+10 ~x1171 +1 ~x1433 +1 ~x1220 +1 ~x1221 +1 ~x1237 +1 ~x1244 +1 ~x1245 +1 ~x1246 +1 ~x1247 +1 ~x1248 +1 ~x1249 >= 10;
+10 ~x1177 +1 ~x1432 +1 ~x1220 +1 ~x1221 +1 ~x1237 +1 ~x1262 +1 ~x1263 +1 ~x1264 +1 ~x1265 +1 ~x1266 +1 ~x1267 >= 10;
+6 ~x1180 +1 ~x1431 +1 ~x1196 +1 ~x1201 +1 ~x1223 +1 ~x1344 +1 ~x1345 >= 6;
+6 ~x1182 +1 ~x1430 +1 ~x1197 +1 ~x1202 +1 ~x1224 +1 ~x1348 +1 ~x1349 >= 6;
+6 ~x1184 +1 ~x1429 +1 ~x1198 +1 ~x1203 +1 ~x1226 +1 ~x1356 +1 ~x1357 >= 6;
+6 ~x1186 +1 ~x1428 +1 ~x1199 +1 ~x1204 +1 ~x1227 +1 ~x1360 +1 ~x1361 >= 6;
+6 ~x1188 +1 ~x1427 +1 ~x1200 +1 ~x1205 +1 ~x1228 +1 ~x1364 +1 ~x1365 >= 6;
+16 ~x1210 +1 ~x1215 +1 ~x1231 +1 ~x1416 +1 ~x1284 +1 ~x1285 +1 ~x1286 +1 ~x1287 +1 ~x1288 +1 ~x1290 +1 ~x1289 +1 ~x1308 +1 ~x1309 +1 ~x1310 +1 ~x1311 +1 ~x1312 +1 ~x1313 >= 16;
+16 ~x1211 +1 ~x1216 +1 ~x1232 +1 ~x1415 +1 ~x1284 +1 ~x1285 +1 ~x1286 +1 ~x1287 +1 ~x1288 +1 ~x1291 +1 ~x1289 +1 ~x1314 +1 ~x1315 +1 ~x1316 +1 ~x1317 +1 ~x1318 +1 ~x1319 >= 16;
+16 ~x1212 +1 ~x1217 +1 ~x1233 +1 ~x1414 +1 ~x1284 +1 ~x1285 +1 ~x1286 +1 ~x1287 +1 ~x1288 +1 ~x1292 +1 ~x1289 +1 ~x1320 +1 ~x1321 +1 ~x1322 +1 ~x1323 +1 ~x1324 +1 ~x1325 >= 16;
+16 ~x1213 +1 ~x1218 +1 ~x1234 +1 ~x1413 +1 ~x1284 +1 ~x1285 +1 ~x1286 +1 ~x1287 +1 ~x1288 +1 ~x1293 +1 ~x1289 +1 ~x1238 +1 ~x1239 +1 ~x1240 +1 ~x1241 +1 ~x1242 +1 ~x1243 >= 16;
+16 ~x1214 +1 ~x1219 +1 ~x1235 +1 ~x1412 +1 ~x1284 +1 ~x1285 +1 ~x1286 +1 ~x1287 +1 ~x1288 +1 ~x1294 +1 ~x1289 +1 ~x1244 +1 ~x1245 +1 ~x1246 +1 ~x1247 +1 ~x1248 +1 ~x1249 >= 16;
+15 ~x1215 +1 ~x1231 +1 ~x1416 +1 ~x1284 +1 ~x1290 +1 ~x1291 +1 ~x1292 +1 ~x1293 +1 ~x1294 +1 ~x1295 +1 ~x1326 +1 ~x1327 +1 ~x1328 +1 ~x1329 +1 ~x1330 +1 ~x1331 >= 15;
+15 ~x1216 +1 ~x1232 +1 ~x1415 +1 ~x1285 +1 ~x1290 +1 ~x1291 +1 ~x1292 +1 ~x1293 +1 ~x1294 +1 ~x1295 +1 ~x1332 +1 ~x1333 +1 ~x1334 +1 ~x1335 +1 ~x1336 +1 ~x1337 >= 15;
+15 ~x1217 +1 ~x1233 +1 ~x1414 +1 ~x1286 +1 ~x1290 +1 ~x1291 +1 ~x1292 +1 ~x1293 +1 ~x1294 +1 ~x1295 +1 ~x1338 +1 ~x1339 +1 ~x1340 +1 ~x1341 +1 ~x1342 +1 ~x1343 >= 15;
+15 ~x1218 +1 ~x1234 +1 ~x1413 +1 ~x1287 +1 ~x1290 +1 ~x1291 +1 ~x1292 +1 ~x1293 +1 ~x1294 +1 ~x1295 +1 ~x1256 +1 ~x1257 +1 ~x1258 +1 ~x1259 +1 ~x1260 +1 ~x1261 >= 15;
+15 ~x1219 +1 ~x1235 +1 ~x1412 +1 ~x1288 +1 ~x1290 +1 ~x1291 +1 ~x1292 +1 ~x1293 +1 ~x1294 +1 ~x1295 +1 ~x1262 +1 ~x1263 +1 ~x1264 +1 ~x1265 +1 ~x1266 +1 ~x1267 >= 15;
+5 ~x1225 +1 ~x1410 +1 ~x1297 +1 ~x1298 +1 ~x1354 +1 ~x1355 >= 5;
+5 ~x1231 +1 ~x1416 +1 ~x1284 +1 ~x1290 +1 ~x1344 +1 ~x1345 >= 5;
+5 ~x1232 +1 ~x1415 +1 ~x1285 +1 ~x1291 +1 ~x1348 +1 ~x1349 >= 5;
+5 ~x1233 +1 ~x1414 +1 ~x1286 +1 ~x1292 +1 ~x1352 +1 ~x1353 >= 5;
+5 ~x1234 +1 ~x1413 +1 ~x1287 +1 ~x1293 +1 ~x1356 +1 ~x1357 >= 5;
+5 ~x1235 +1 ~x1412 +1 ~x1288 +1 ~x1294 +1 ~x1360 +1 ~x1361 >= 5;
+5 ~x1236 +1 ~x1407 +1 ~x1301 +1 ~x1302 +1 ~x1366 +1 ~x1367 >= 5;
+10 ~x1194 +1 ~x1195 +1 ~x1222 +1 ~x1411 +1 ~x1296 +1 ~x1238 +1 ~x1239 +1 ~x1240 +1 ~x1241 +1 ~x1242 +1 ~x1243 >= 10;
+9 ~x1195 +1 ~x1222 +1 ~x1411 +1 ~x1296 +1 ~x1256 +1 ~x1257 +1 ~x1258 +1 ~x1259 +1 ~x1260 +1 ~x1261 >= 9;
+16 ~x1196 +1 ~x1201 +1 ~x1223 +1 ~x1421 +1 ~x1274 +1 ~x1275 +1 ~x1276 +1 ~x1277 +1 ~x1278 +1 ~x1279 +1 ~x1308 +1 ~x1309 +1 ~x1310 +1 ~x1311 +1 ~x1312 +1 ~x1313 +1 ~x1368 >= 16;
+16 ~x1197 +1 ~x1202 +1 ~x1224 +1 ~x1420 +1 ~x1274 +1 ~x1275 +1 ~x1276 +1 ~x1277 +1 ~x1278 +1 ~x1280 +1 ~x1314 +1 ~x1315 +1 ~x1316 +1 ~x1317 +1 ~x1318 +1 ~x1319 +1 ~x1368 >= 16;
+16 ~x1198 +1 ~x1203 +1 ~x1226 +1 ~x1419 +1 ~x1274 +1 ~x1275 +1 ~x1276 +1 ~x1277 +1 ~x1278 +1 ~x1281 +1 ~x1238 +1 ~x1239 +1 ~x1240 +1 ~x1241 +1 ~x1242 +1 ~x1243 +1 ~x1368 >= 16;
+16 ~x1199 +1 ~x1204 +1 ~x1227 +1 ~x1418 +1 ~x1274 +1 ~x1275 +1 ~x1276 +1 ~x1277 +1 ~x1278 +1 ~x1282 +1 ~x1244 +1 ~x1245 +1 ~x1246 +1 ~x1247 +1 ~x1248 +1 ~x1249 +1 ~x1368 >= 16;
+16 ~x1200 +1 ~x1205 +1 ~x1228 +1 ~x1417 +1 ~x1274 +1 ~x1275 +1 ~x1276 +1 ~x1277 +1 ~x1278 +1 ~x1283 +1 ~x1250 +1 ~x1251 +1 ~x1252 +1 ~x1253 +1 ~x1254 +1 ~x1255 +1 ~x1368 >= 16;
+15 ~x1201 +1 ~x1223 +1 ~x1421 +1 ~x1274 +1 ~x1279 +1 ~x1280 +1 ~x1281 +1 ~x1282 +1 ~x1283 +1 ~x1326 +1 ~x1327 +1 ~x1328 +1 ~x1329 +1 ~x1330 +1 ~x1331 +1 ~x1369 >= 15;
+15 ~x1202 +1 ~x1224 +1 ~x1420 +1 ~x1275 +1 ~x1279 +1 ~x1280 +1 ~x1281 +1 ~x1282 +1 ~x1283 +1 ~x1332 +1 ~x1333 +1 ~x1334 +1 ~x1335 +1 ~x1336 +1 ~x1337 +1 ~x1369 >= 15;
+15 ~x1203 +1 ~x1226 +1 ~x1419 +1 ~x1276 +1 ~x1279 +1 ~x1280 +1 ~x1281 +1 ~x1282 +1 ~x1283 +1 ~x1256 +1 ~x1257 +1 ~x1258 +1 ~x1259 +1 ~x1260 +1 ~x1261 +1 ~x1369 >= 15;
+15 ~x1204 +1 ~x1227 +1 ~x1418 +1 ~x1277 +1 ~x1279 +1 ~x1280 +1 ~x1281 +1 ~x1282 +1 ~x1283 +1 ~x1262 +1 ~x1263 +1 ~x1264 +1 ~x1265 +1 ~x1266 +1 ~x1267 +1 ~x1369 >= 15;
+15 ~x1205 +1 ~x1228 +1 ~x1417 +1 ~x1278 +1 ~x1279 +1 ~x1280 +1 ~x1281 +1 ~x1282 +1 ~x1283 +1 ~x1268 +1 ~x1269 +1 ~x1270 +1 ~x1271 +1 ~x1272 +1 ~x1273 +1 ~x1369 >= 15;
+10 ~x1206 +1 ~x1207 +1 ~x1229 +1 ~x1409 +1 ~x1299 +1 ~x1250 +1 ~x1251 +1 ~x1252 +1 ~x1253 +1 ~x1254 +1 ~x1255 >= 10;
+9 ~x1207 +1 ~x1229 +1 ~x1409 +1 ~x1299 +1 ~x1268 +1 ~x1269 +1 ~x1270 +1 ~x1271 +1 ~x1272 +1 ~x1273 >= 9;
+10 ~x1208 +1 ~x1209 +1 ~x1230 +1 ~x1408 +1 ~x1300 +1 ~x1250 +1 ~x1251 +1 ~x1252 +1 ~x1253 +1 ~x1254 +1 ~x1255 >= 10;
+9 ~x1209 +1 ~x1230 +1 ~x1408 +1 ~x1300 +1 ~x1268 +1 ~x1269 +1 ~x1270 +1 ~x1271 +1 ~x1272 +1 ~x1273 >= 9;
+10 ~x1220 +1 ~x1221 +1 ~x1237 +1 ~x1406 +1 ~x1303 +1 ~x1244 +1 ~x1245 +1 ~x1246 +1 ~x1247 +1 ~x1248 +1 ~x1249 >= 10;
+9 ~x1221 +1 ~x1237 +1 ~x1406 +1 ~x1303 +1 ~x1262 +1 ~x1263 +1 ~x1264 +1 ~x1265 +1 ~x1266 +1 ~x1267 >= 9;
+5 ~x1222 +1 ~x1411 +1 ~x1296 +1 ~x1356 +1 ~x1357 +1 ~x1370 >= 5;
+5 ~x1223 +1 ~x1421 +1 ~x1274 +1 ~x1279 +1 ~x1344 +1 ~x1345 >= 5;
+5 ~x1224 +1 ~x1420 +1 ~x1275 +1 ~x1280 +1 ~x1348 +1 ~x1349 >= 5;
+5 ~x1226 +1 ~x1419 +1 ~x1276 +1 ~x1281 +1 ~x1356 +1 ~x1357 >= 5;
+5 ~x1227 +1 ~x1418 +1 ~x1277 +1 ~x1282 +1 ~x1360 +1 ~x1361 >= 5;
+5 ~x1228 +1 ~x1417 +1 ~x1278 +1 ~x1283 +1 ~x1364 +1 ~x1365 >= 5;
+5 ~x1229 +1 ~x1409 +1 ~x1299 +1 ~x1364 +1 ~x1365 +1 ~x1371 >= 5;
+5 ~x1230 +1 ~x1408 +1 ~x1300 +1 ~x1364 +1 ~x1365 +1 ~x1372 >= 5;
+5 ~x1237 +1 ~x1406 +1 ~x1303 +1 ~x1360 +1 ~x1361 +1 ~x1373 >= 5;
+13 ~x1284 +1 ~x1285 +1 ~x1286 +1 ~x1287 +1 ~x1288 +1 ~x1289 +1 ~x1405 +1 ~x1304 +1 ~x1308 +1 ~x1309 +1 ~x1310 +1 ~x1311 +1 ~x1312 +1 ~x1313 >= 13;
+12 ~x1285 +1 ~x1286 +1 ~x1287 +1 ~x1288 +1 ~x1289 +1 ~x1405 +1 ~x1304 +1 ~x1314 +1 ~x1315 +1 ~x1316 +1 ~x1317 +1 ~x1318 +1 ~x1319 >= 12;
+11 ~x1286 +1 ~x1287 +1 ~x1288 +1 ~x1289 +1 ~x1405 +1 ~x1304 +1 ~x1320 +1 ~x1321 +1 ~x1322 +1 ~x1323 +1 ~x1324 +1 ~x1325 >= 11;
+10 ~x1287 +1 ~x1288 +1 ~x1289 +1 ~x1405 +1 ~x1238 +1 ~x1239 +1 ~x1240 +1 ~x1241 +1 ~x1242 +1 ~x1243 +1 ~x1304 >= 10;
+9 ~x1288 +1 ~x1289 +1 ~x1405 +1 ~x1244 +1 ~x1245 +1 ~x1246 +1 ~x1247 +1 ~x1248 +1 ~x1249 +1 ~x1304 >= 9;
+13 ~x1290 +1 ~x1291 +1 ~x1292 +1 ~x1293 +1 ~x1294 +1 ~x1295 +1 ~x1404 +1 ~x1305 +1 ~x1326 +1 ~x1327 +1 ~x1328 +1 ~x1329 +1 ~x1330 +1 ~x1331 >= 13;
+12 ~x1291 +1 ~x1292 +1 ~x1293 +1 ~x1294 +1 ~x1295 +1 ~x1404 +1 ~x1305 +1 ~x1332 +1 ~x1333 +1 ~x1334 +1 ~x1335 +1 ~x1336 +1 ~x1337 >= 12;
+11 ~x1292 +1 ~x1293 +1 ~x1294 +1 ~x1295 +1 ~x1404 +1 ~x1305 +1 ~x1338 +1 ~x1339 +1 ~x1340 +1 ~x1341 +1 ~x1342 +1 ~x1343 >= 11;
+10 ~x1293 +1 ~x1294 +1 ~x1295 +1 ~x1404 +1 ~x1256 +1 ~x1257 +1 ~x1258 +1 ~x1259 +1 ~x1260 +1 ~x1261 +1 ~x1305 >= 10;
+9 ~x1294 +1 ~x1295 +1 ~x1404 +1 ~x1262 +1 ~x1263 +1 ~x1264 +1 ~x1265 +1 ~x1266 +1 ~x1267 +1 ~x1305 >= 9;
+5 ~x1297 +1 ~x1298 +1 ~x1403 +1 ~x1306 +1 ~x1354 +1 ~x1355 >= 5;
+5 ~x1301 +1 ~x1302 +1 ~x1402 +1 ~x1307 +1 ~x1366 +1 ~x1367 >= 5;
+13 ~x1274 +1 ~x1275 +1 ~x1276 +1 ~x1277 +1 ~x1278 +1 ~x1308 +1 ~x1309 +1 ~x1310 +1 ~x1311 +1 ~x1312 +1 ~x1313 +1 ~x1368 +1 ~x1385 +1 ~x1374 >= 13;
+12 ~x1275 +1 ~x1276 +1 ~x1277 +1 ~x1278 +1 ~x1314 +1 ~x1315 +1 ~x1316 +1 ~x1317 +1 ~x1318 +1 ~x1319 +1 ~x1368 +1 ~x1385 +1 ~x1374 >= 12;
+11 ~x1276 +1 ~x1277 +1 ~x1278 +1 ~x1238 +1 ~x1239 +1 ~x1240 +1 ~x1241 +1 ~x1242 +1 ~x1243 +1 ~x1368 +1 ~x1385 +1 ~x1374 >= 11;
+10 ~x1277 +1 ~x1278 +1 ~x1244 +1 ~x1245 +1 ~x1246 +1 ~x1247 +1 ~x1248 +1 ~x1249 +1 ~x1368 +1 ~x1385 +1 ~x1374 >= 10;
+9 ~x1278 +1 ~x1250 +1 ~x1251 +1 ~x1252 +1 ~x1253 +1 ~x1254 +1 ~x1255 +1 ~x1368 +1 ~x1385 +1 ~x1374 >= 9;
+13 ~x1279 +1 ~x1280 +1 ~x1281 +1 ~x1282 +1 ~x1283 +1 ~x1326 +1 ~x1327 +1 ~x1328 +1 ~x1329 +1 ~x1330 +1 ~x1331 +1 ~x1369 +1 ~x1384 +1 ~x1375 >= 13;
+12 ~x1280 +1 ~x1281 +1 ~x1282 +1 ~x1283 +1 ~x1332 +1 ~x1333 +1 ~x1334 +1 ~x1335 +1 ~x1336 +1 ~x1337 +1 ~x1369 +1 ~x1384 +1 ~x1375 >= 12;
+11 ~x1281 +1 ~x1282 +1 ~x1283 +1 ~x1256 +1 ~x1257 +1 ~x1258 +1 ~x1259 +1 ~x1260 +1 ~x1261 +1 ~x1369 +1 ~x1384 +1 ~x1375 >= 11;
+10 ~x1282 +1 ~x1283 +1 ~x1262 +1 ~x1263 +1 ~x1264 +1 ~x1265 +1 ~x1266 +1 ~x1267 +1 ~x1369 +1 ~x1384 +1 ~x1375 >= 10;
+9 ~x1283 +1 ~x1268 +1 ~x1269 +1 ~x1270 +1 ~x1271 +1 ~x1272 +1 ~x1273 +1 ~x1369 +1 ~x1384 +1 ~x1375 >= 9;
+10 ~x1289 +1 ~x1405 +1 ~x1250 +1 ~x1251 +1 ~x1252 +1 ~x1253 +1 ~x1254 +1 ~x1255 +1 ~x1304 +1 ~x1305 +1 ~x1307 >= 10;
+10 ~x1295 +1 ~x1404 +1 ~x1268 +1 ~x1269 +1 ~x1270 +1 ~x1271 +1 ~x1272 +1 ~x1273 +1 ~x1304 +1 ~x1305 +1 ~x1307 >= 10;
+5 ~x1296 +1 ~x1356 +1 ~x1357 +1 ~x1370 +1 ~x1383 +1 ~x1376 >= 5;
+6 ~x1298 +1 ~x1403 +1 ~x1306 +1 ~x1352 +1 ~x1353 +1 ~x1374 +1 ~x1375 >= 6;
+5 ~x1299 +1 ~x1364 +1 ~x1365 +1 ~x1371 +1 ~x1382 +1 ~x1377 >= 5;
+5 ~x1300 +1 ~x1364 +1 ~x1365 +1 ~x1372 +1 ~x1381 +1 ~x1378 >= 5;
+6 ~x1302 +1 ~x1402 +1 ~x1304 +1 ~x1305 +1 ~x1307 +1 ~x1364 +1 ~x1365 >= 6;
+5 ~x1303 +1 ~x1360 +1 ~x1361 +1 ~x1373 +1 ~x1380 +1 ~x1379 >= 5;
+16 ~x1238 +1 ~x1239 +1 ~x1240 +1 ~x1241 +1 ~x1242 +1 ~x1243 +1 ~x1247 +1 ~x1253 +1 ~x1308 +1 ~x1309 +1 ~x1310 +1 ~x1311 +1 ~x1312 +1 ~x1313 +1 ~x1317 +1 ~x1399 +1 ~x1323 >= 16;
+15 ~x1239 +1 ~x1240 +1 ~x1241 +1 ~x1242 +1 ~x1243 +1 ~x1247 +1 ~x1253 +1 ~x1311 +1 ~x1314 +1 ~x1315 +1 ~x1316 +1 ~x1317 +1 ~x1318 +1 ~x1319 +1 ~x1399 +1 ~x1323 >= 15;
+14 ~x1240 +1 ~x1241 +1 ~x1242 +1 ~x1243 +1 ~x1247 +1 ~x1253 +1 ~x1311 +1 ~x1317 +1 ~x1399 +1 ~x1320 +1 ~x1321 +1 ~x1322 +1 ~x1323 +1 ~x1324 +1 ~x1325 >= 14;
+8 ~x1241 +1 ~x1242 +1 ~x1243 +1 ~x1247 +1 ~x1253 +1 ~x1311 +1 ~x1317 +1 ~x1399 +1 ~x1323 >= 8;
+12 ~x1242 +1 ~x1243 +1 ~x1244 +1 ~x1245 +1 ~x1246 +1 ~x1247 +1 ~x1248 +1 ~x1249 +1 ~x1253 +1 ~x1311 +1 ~x1317 +1 ~x1399 +1 ~x1323 >= 12;
+11 ~x1243 +1 ~x1247 +1 ~x1250 +1 ~x1251 +1 ~x1252 +1 ~x1253 +1 ~x1254 +1 ~x1255 +1 ~x1311 +1 ~x1317 +1 ~x1399 +1 ~x1323 >= 11;
+15 ~x1244 +1 ~x1245 +1 ~x1246 +1 ~x1247 +1 ~x1248 +1 ~x1249 +1 ~x1254 +1 ~x1308 +1 ~x1309 +1 ~x1310 +1 ~x1311 +1 ~x1312 +1 ~x1313 +1 ~x1318 +1 ~x1398 +1 ~x1324 >= 15;
+14 ~x1245 +1 ~x1246 +1 ~x1247 +1 ~x1248 +1 ~x1249 +1 ~x1254 +1 ~x1312 +1 ~x1314 +1 ~x1315 +1 ~x1316 +1 ~x1317 +1 ~x1318 +1 ~x1319 +1 ~x1398 +1 ~x1324 >= 14;
+13 ~x1246 +1 ~x1247 +1 ~x1248 +1 ~x1249 +1 ~x1254 +1 ~x1312 +1 ~x1318 +1 ~x1398 +1 ~x1320 +1 ~x1321 +1 ~x1322 +1 ~x1323 +1 ~x1324 +1 ~x1325 >= 13;
+7 ~x1247 +1 ~x1248 +1 ~x1249 +1 ~x1254 +1 ~x1312 +1 ~x1318 +1 ~x1398 +1 ~x1324 >= 7;
+6 ~x1248 +1 ~x1249 +1 ~x1254 +1 ~x1312 +1 ~x1318 +1 ~x1398 +1 ~x1324 >= 6;
+10 ~x1249 +1 ~x1250 +1 ~x1251 +1 ~x1252 +1 ~x1253 +1 ~x1254 +1 ~x1255 +1 ~x1312 +1 ~x1318 +1 ~x1398 +1 ~x1324 >= 10;
+15 ~x1250 +1 ~x1251 +1 ~x1252 +1 ~x1253 +1 ~x1254 +1 ~x1255 +1 ~x1304 +1 ~x1308 +1 ~x1309 +1 ~x1310 +1 ~x1311 +1 ~x1312 +1 ~x1313 +1 ~x1319 +1 ~x1397 +1 ~x1325 >= 15;
+14 ~x1251 +1 ~x1252 +1 ~x1253 +1 ~x1254 +1 ~x1255 +1 ~x1304 +1 ~x1313 +1 ~x1314 +1 ~x1315 +1 ~x1316 +1 ~x1317 +1 ~x1318 +1 ~x1319 +1 ~x1397 +1 ~x1325 >= 14;
+13 ~x1252 +1 ~x1253 +1 ~x1254 +1 ~x1255 +1 ~x1304 +1 ~x1313 +1 ~x1319 +1 ~x1397 +1 ~x1320 +1 ~x1321 +1 ~x1322 +1 ~x1323 +1 ~x1324 +1 ~x1325 >= 13;
+7 ~x1253 +1 ~x1254 +1 ~x1255 +1 ~x1304 +1 ~x1313 +1 ~x1319 +1 ~x1397 +1 ~x1325 >= 7;
+6 ~x1254 +1 ~x1255 +1 ~x1304 +1 ~x1313 +1 ~x1319 +1 ~x1397 +1 ~x1325 >= 6;
+5 ~x1255 +1 ~x1304 +1 ~x1313 +1 ~x1319 +1 ~x1397 +1 ~x1325 >= 5;
+16 ~x1256 +1 ~x1257 +1 ~x1258 +1 ~x1259 +1 ~x1260 +1 ~x1261 +1 ~x1265 +1 ~x1271 +1 ~x1326 +1 ~x1327 +1 ~x1328 +1 ~x1329 +1 ~x1330 +1 ~x1331 +1 ~x1335 +1 ~x1394 +1 ~x1341 >= 16;
+15 ~x1257 +1 ~x1258 +1 ~x1259 +1 ~x1260 +1 ~x1261 +1 ~x1265 +1 ~x1271 +1 ~x1329 +1 ~x1332 +1 ~x1333 +1 ~x1334 +1 ~x1335 +1 ~x1336 +1 ~x1337 +1 ~x1394 +1 ~x1341 >= 15;
+14 ~x1258 +1 ~x1259 +1 ~x1260 +1 ~x1261 +1 ~x1265 +1 ~x1271 +1 ~x1329 +1 ~x1335 +1 ~x1394 +1 ~x1338 +1 ~x1339 +1 ~x1340 +1 ~x1341 +1 ~x1342 +1 ~x1343 >= 14;
+8 ~x1259 +1 ~x1260 +1 ~x1261 +1 ~x1265 +1 ~x1271 +1 ~x1329 +1 ~x1335 +1 ~x1394 +1 ~x1341 >= 8;
+12 ~x1260 +1 ~x1261 +1 ~x1262 +1 ~x1263 +1 ~x1264 +1 ~x1265 +1 ~x1266 +1 ~x1267 +1 ~x1271 +1 ~x1329 +1 ~x1335 +1 ~x1394 +1 ~x1341 >= 12;
+11 ~x1261 +1 ~x1265 +1 ~x1268 +1 ~x1269 +1 ~x1270 +1 ~x1271 +1 ~x1272 +1 ~x1273 +1 ~x1329 +1 ~x1335 +1 ~x1394 +1 ~x1341 >= 11;
